rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/iterations,time/fps,train/loss,train/learning_rate,train/clip_range,train/explained_variance,train/n_updates,train/policy_gradient_loss,train/approx_kl,train/value_loss,train/entropy_loss,train/clip_fraction
346.86,321536,-44.57900000000001,765,157,420,18.663591384887695,0.0003,0.2,0.6483665704727173,6460,-0.013777396720252,0.007385591,135.16078029870988,-0.9363940708339215,0.09189453125
347.88,323584,-45.443000000000005,769,158,420,25.373815536499023,0.0003,0.2,0.658137857913971,6470,-0.008874146023299546,0.004869871,159.08886620402336,-0.9049621662124991,0.037451171875
348.28,325632,-45.89900000000001,774,159,420,22.618854522705078,0.0003,0.2,0.8163895606994629,6480,-0.015305692773108604,0.0168041,45.47127440571785,-0.9669915717095137,0.144091796875
349.3,327680,-46.602000000000004,779,160,420,40.876644134521484,0.0003,0.2,0.7174460291862488,6490,-0.01211536756309215,0.012059637,95.50952623784542,-0.927999009564519,0.142138671875
347.98,329728,-46.513000000000005,784,161,420,33.46112823486328,0.0003,0.2,0.6700134873390198,6500,-0.013326196831621928,0.010717019,99.49737482368946,-0.9670865463092924,0.14609375
345.61,331776,-44.635,789,162,420,19.42730140686035,0.0003,0.2,0.5326640009880066,6510,-0.01699398070195457,0.012827562,85.22832508087158,-0.9680429151281714,0.171337890625
341.88,333824,-40.190000000000005,794,163,420,38.31331253051758,0.0003,0.2,0.4496503472328186,6520,-0.013348424466676079,0.0068672104,214.47966386079787,-0.872780940681696,0.078369140625
337.29,335872,-38.151999999999994,798,164,420,48.335113525390625,0.0003,0.2,0.6145895719528198,6530,-0.013796539628674508,0.007574876,122.47673406004905,-0.8928886512294412,0.0845703125
335.71,337920,-35.83,803,165,420,64.69559478759766,0.0003,0.2,0.4822797179222107,6540,-0.01904059337248327,0.015927892,134.02446858882905,-0.9063834998756647,0.169677734375
326.29,339968,-30.281000000000002,808,166,420,27.097545623779297,0.0003,0.2,0.5433456897735596,6550,-0.013879308493778808,0.01169579,112.01117362380027,-0.9480812491849064,0.130615234375
325.43,342016,-29.688000000000002,812,167,420,73.77967834472656,0.0003,0.2,0.4263305068016052,6560,-0.01806085044372594,0.008826921,223.49699360132217,-0.8446846460923553,0.101953125
318.11,344064,-25.588,816,168,421,21.175750732421875,0.0003,0.2,0.30827808380126953,6570,-0.018795408464211506,0.023407407,63.9312770485878,-0.9179856257513166,0.224853515625
315.27,346112,-23.94,821,169,421,91.39212036132812,0.0003,0.2,0.3162913918495178,6580,-0.014102547178481473,0.010645298,146.48243144750595,-0.8468252897262574,0.11083984375
316.58,348160,-23.795,826,170,421,67.5589370727539,0.0003,0.2,0.42363405227661133,6590,-0.015462757715431508,0.011059495,109.91238857507706,-0.9141640800982713,0.12197265625
316.8,350208,-23.374999999999996,831,171,421,42.71712875366211,0.0003,0.2,0.42230528593063354,6600,-0.021555326961970423,0.015203698,85.03410184383392,-0.8923815958201885,0.178955078125
317.97,352256,-24.087999999999997,835,172,421,23.683639526367188,0.0003,0.2,0.473311185836792,6610,-0.014829367402126082,0.02546295,49.98475587964058,-0.9553553627803921,0.17880859375
311.88,354304,-20.721999999999998,839,173,421,34.19990158081055,0.0003,0.2,0.5216838121414185,6620,-0.01706072754022898,0.0135419555,80.56368336975575,-0.8797838548198342,0.149853515625
313.21,356352,-20.651999999999997,845,174,421,76.60782623291016,0.0003,0.2,0.4970516562461853,6630,-0.018136660738673527,0.013885666,119.21471668481827,-0.8870309943333268,0.140380859375
312.15,358400,-19.801000000000002,849,175,422,16.30267906188965,0.0003,0.2,0.570959210395813,6640,-0.012752823370101396,0.02664108,33.7754533931613,-0.9683605236932635,0.279931640625
308.41,360448,-17.67,856,176,420,44.5063591003418,0.0003,0.2,0.6700438261032104,6650,-0.022868636975181288,0.024428248,50.1034698843956,-0.9490380762144923,0.24970703125
