time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/entropy_loss,train/n_updates,train/value_loss,train/explained_variance,train/clip_fraction,train/approx_kl,train/loss,train/policy_gradient_loss,train/learning_rate,train/clip_range
542720,265,41.15,18.561,188,2886,-0.6227416948415339,2640,12.164038237184286,0.7416970729827881,0.1544921875,0.014853604,3.3685779571533203,-0.020166619957308285,0.0003,0.2
544768,266,42.13,18.075,187,2898,-0.6747752765193582,2650,9.894502666592597,0.7186307907104492,0.145263671875,0.017058272,4.121682643890381,-0.014597914046316874,0.0003,0.2
546816,267,35.29,22.021999999999995,188,2903,-0.5771505490876734,2660,13.946175326406955,0.8251640200614929,0.094189453125,0.009670928,2.698812246322632,-0.012634267096291295,0.0003,0.2
548864,268,36.63,21.199,188,2908,-0.4966211904771626,2670,13.399183037877084,0.8348004221916199,0.11767578125,0.013344405,2.7710187435150146,-0.018834034015890212,0.0003,0.2
550912,269,37.78,20.562,189,2912,-0.558478229958564,2680,8.052286920696497,0.8462074995040894,0.1451171875,0.016326318,2.8466475009918213,-0.019598819676321,0.0003,0.2
552960,270,38.8,20.147999999999996,189,2918,-0.6310567378997802,2690,10.244472834467889,0.8081181049346924,0.169189453125,0.022403542,4.531218528747559,-0.017047916515730323,0.0003,0.2
555008,271,39.43,19.697,189,2924,-0.5078332235105336,2700,10.769390918314457,0.7711141109466553,0.11064453125,0.0129855685,2.7291171550750732,-0.017447592990356496,0.0003,0.2
557056,272,43.83,17.165999999999997,190,2928,-0.6915357692167163,2710,14.388959166407584,0.7791417241096497,0.14677734375,0.017667707,2.9630465507507324,-0.018281507697247436,0.0003,0.2
559104,273,33.13,23.276000000000003,190,2932,-0.6620972711592913,2720,17.7467694953084,0.8608827590942383,0.130322265625,0.015673134,5.109008312225342,-0.018673311130260117,0.0003,0.2
561152,274,37.65,20.68,191,2937,-0.510962082631886,2730,15.515139019489288,0.6884634494781494,0.0974609375,0.01070665,5.326300621032715,-0.014622560045972932,0.0003,0.2
563200,275,43.08,17.755999999999997,191,2942,-0.6601535470224917,2740,27.26955578625202,0.848969578742981,0.1435546875,0.014048429,12.444649696350098,-0.019263834302546457,0.0003,0.2
565248,276,48.46,15.161000000000001,191,2946,-0.6919110424816608,2750,23.524560584127904,0.8651353120803833,0.132568359375,0.013980914,16.116296768188477,-0.018144697160460056,0.0003,0.2
567296,277,42.7,18.579,192,2952,-0.7944318156689405,2760,30.883015206456186,0.8497576117515564,0.151025390625,0.016480964,6.492923259735107,-0.01928929927671561,0.0003,0.2
569344,278,41.16,19.414,192,2957,-0.5362417878583073,2770,12.015905848145485,0.4188224673271179,0.142431640625,0.019513046,5.314909934997559,-0.022930649277986957,0.0003,0.2
571392,279,44.5,17.487999999999996,192,2962,-0.7573054425418377,2780,15.13676401078701,0.8027811646461487,0.16923828125,0.020276707,7.691806316375732,-0.01733617980062263,0.0003,0.2
573440,280,41.8,18.773000000000003,193,2966,-0.5956336458213627,2790,14.048156659305096,0.7618634700775146,0.14462890625,0.016899563,3.595651388168335,-0.014558619418676245,0.0003,0.2
575488,281,44.78,17.339000000000002,193,2971,-0.6771098339930177,2800,16.613067732751368,0.8250466585159302,0.162060546875,0.01804019,5.002391338348389,-0.01974749115470331,0.0003,0.2
577536,282,42.9,18.321,194,2975,-0.6774509742856025,2810,21.112932716310024,0.8600059747695923,0.150341796875,0.015506962,6.520963191986084,-0.021970114999567157,0.0003,0.2
579584,283,42.58,18.410999999999998,194,2981,-0.6259132759645581,2820,24.876455983519556,0.8585473895072937,0.108642578125,0.012832056,6.693351745605469,-0.013159868564252974,0.0003,0.2
581632,284,41.74,18.793,194,2986,-0.695599683187902,2830,25.138245040178298,0.8893002867698669,0.156884765625,0.013486564,12.12205696105957,-0.015085032537172083,0.0003,0.2
583680,285,39.42,19.851999999999997,195,2991,-0.6034397762268782,2840,13.356831242144107,0.7169301509857178,0.1568359375,0.017844563,3.467625141143799,-0.02237542753791786,0.0003,0.2
585728,286,38.03,20.358999999999998,195,2995,-0.6210058542899788,2850,11.182432425022125,0.7136470675468445,0.1650390625,0.01896207,2.783815383911133,-0.022542934550438078,0.0003,0.2
587776,287,41.77,17.99,195,3000,-0.5969905016943813,2860,17.554848167300225,0.8559377789497375,0.1205078125,0.013875529,4.477087497711182,-0.015548589310492389,0.0003,0.2
589824,288,46.56,15.643999999999998,196,3004,-0.7486500136554242,2870,17.124806413054465,0.7528296709060669,0.170849609375,0.020558462,5.888116359710693,-0.019649295711133163,0.0003,0.2
591872,289,50.45,13.609999999999998,196,3009,-0.7549266744405031,2880,39.932813888788225,0.8850439786911011,0.13876953125,0.011950262,21.10719871520996,-0.015409912457107567,0.0003,0.2
593920,290,41.74,18.196,197,3013,-0.7084650574252009,2890,19.918653203547002,0.8473460674285889,0.16484375,0.029436022,9.044325828552246,-0.018226752456394026,0.0003,0.2
595968,291,38.97,19.983,197,3018,-0.573253485839814,2900,22.10254743695259,0.8466630578041077,0.12763671875,0.014002437,3.8002939224243164,-0.016817430111404973,0.0003,0.2
598016,292,38.41,20.354,197,3023,-0.667434711009264,2910,30.186918380856515,0.8605017066001892,0.15771484375,0.015296886,7.447169303894043,-0.02029823573102476,0.0003,0.2
600064,293,36.42,21.226999999999997,198,3028,-0.5919023682363331,2920,22.988098476827144,0.857787013053894,0.129345703125,0.013672442,12.257847785949707,-0.019133275545027573,0.0003,0.2
602112,294,33.21,23.293000000000003,198,3033,-0.5785513817332685,2930,10.151928553730249,0.7407940626144409,0.14296875,0.01907098,1.771841049194336,-0.008481720511917956,0.0003,0.2
604160,295,35.98,21.952,198,3038,-0.5139741017483175,2940,13.281034845858812,0.6037169694900513,0.125537109375,0.015910525,4.435891628265381,-0.016874563216697426,0.0003,0.2
606208,296,41.62,18.601999999999997,199,3042,-0.6381491771899164,2950,6.858547904342413,0.6436715126037598,0.187939453125,0.029105704,1.7408334016799927,-0.022523997008102016,0.0003,0.2
608256,297,42.95,17.229,199,3047,-0.6805996477603913,2960,9.327853097766639,0.7587037682533264,0.1697265625,0.018172292,4.251765727996826,-0.018694139255967458,0.0003,0.2
610304,298,40.18,19.634,199,3051,-0.6326559728011489,2970,11.040528276562691,0.7681860327720642,0.1751953125,0.014788161,4.650973796844482,-0.022802029878948814,0.0003,0.2
612352,299,44.03,17.51,200,3059,-0.6249399077147245,2980,13.850965045392513,0.7233045101165771,0.14169921875,0.017065058,4.990592002868652,-0.020867944395286032,0.0003,0.2
614400,300,45.66,16.57,199,3072,-0.749915100634098,2990,10.221540343761443,0.7714565396308899,0.172509765625,0.017763073,5.705710411071777,-0.016413776989793405,0.0003,0.2
616448,301,43.54,17.602999999999998,199,3090,-0.6708507993258536,3000,17.018890930712224,0.791164219379425,0.154833984375,0.016820524,9.623658180236816,-0.02033404689573217,0.0003,0.2
618496,302,40.76,18.688,199,3104,-0.640485059749335,3010,13.170757308602333,0.7824108004570007,0.148828125,0.018898312,5.204741477966309,-0.020380793712683955,0.0003,0.2
620544,303,35.32,21.559,199,3117,-0.6279641265049577,3020,10.547306465357542,0.6629168391227722,0.164306640625,0.019448081,2.014461040496826,-0.02001818154240027,0.0003,0.2
622592,304,38.6,20.193,198,3130,-0.5435956696048379,3030,12.981228975206614,0.8099039793014526,0.131884765625,0.01388965,4.768950462341309,-0.012661995305097661,0.0003,0.2
624640,305,44.0,17.256,198,3145,-0.6299629432149232,3040,14.075618796795606,0.828721821308136,0.14375,0.015538065,2.684908866882324,-0.022302609174221288,0.0003,0.2
626688,306,41.62,18.441,198,3162,-0.6336177556775511,3050,15.105427518486977,0.8544920682907104,0.135888671875,0.016618358,2.8148441314697266,-0.012029535342298914,0.0003,0.2
628736,307,39.3,19.737000000000002,197,3178,-0.6302215336821974,3060,20.977689877152443,0.8927937746047974,0.15986328125,0.016557328,3.046344518661499,-0.02057405021478189,0.0003,0.2
630784,308,36.84,21.103999999999996,197,3191,-0.6085290632210671,3070,16.867180007696152,0.6484673023223877,0.13125,0.012055379,4.727677822113037,-0.018238715258485173,0.0003,0.2
632832,309,38.26,20.301,197,3209,-0.48463736614212394,3080,11.281427817046643,0.7197365760803223,0.1396484375,0.017049763,2.1641745567321777,-0.026721402900875546,0.0003,0.2
634880,310,41.47,18.633000000000003,196,3233,-0.6564483035355806,3090,11.741658089309931,0.8124303221702576,0.149755859375,0.016255906,4.370717525482178,-0.013106123876059427,0.0003,0.2
636928,311,39.14,19.750000000000004,196,3249,-0.6181786863133312,3100,20.3766956448555,0.8005388379096985,0.117724609375,0.011697153,5.217566013336182,-0.014483355120319175,0.0003,0.2
638976,312,43.13,17.317000000000004,195,3263,-0.5757837391458451,3110,12.742992632836103,0.8621299862861633,0.146630859375,0.016652424,1.791206955909729,-0.014972310046141501,0.0003,0.2
641024,313,44.01,16.874999999999996,195,3276,-0.7806136459112167,3120,32.71414943039417,0.8878934979438782,0.127783203125,0.013739936,5.630237579345703,-0.01439246850204654,0.0003,0.2
643072,314,46.96,15.602,195,3290,-0.6317310865968466,3130,26.314214718341827,0.8621240854263306,0.136279296875,0.011608241,4.3699541091918945,-0.017987399162666406,0.0003,0.2
645120,315,43.04,18.003,195,3304,-0.7356199292466045,3140,12.510445315390825,0.747454822063446,0.196435546875,0.021137835,7.787632465362549,-0.022288030851632355,0.0003,0.2
647168,316,41.73,18.314999999999998,195,3318,-0.6152281787246465,3150,15.686451616883279,0.7493194937705994,0.159375,0.01628606,4.619339466094971,-0.021299695251218508,0.0003,0.2
649216,317,44.42,16.851000000000003,194,3330,-0.6913228412158787,3160,16.271185468137265,0.7644542455673218,0.143505859375,0.015791528,4.944089412689209,-0.019868680262879933,0.0003,0.2
651264,318,48.93,14.186,194,3344,-0.6726567870937288,3170,23.03479674756527,0.8007785677909851,0.13232421875,0.013859275,10.601278305053711,-0.013546494687034283,0.0003,0.2
653312,319,51.97,12.661000000000001,194,3358,-0.8564075464382768,3180,30.530099043250083,0.8029900193214417,0.1861328125,0.021630239,16.195837020874023,-0.019301621890917886,0.0003,0.2
655360,320,41.63,18.754,194,3372,-0.6949091533198952,3190,30.35675855875015,0.8066148161888123,0.11611328125,0.011728618,9.331840515136719,-0.01803209140780382,0.0003,0.2
657408,321,38.45,20.043,194,3385,-0.6048420453444123,3200,28.152980411052702,0.8479928970336914,0.132421875,0.013615208,13.987488746643066,-0.01798979363957187,0.0003,0.2
659456,322,41.63,17.913,194,3398,-0.6336522502824664,3210,14.631190601736307,0.7707086205482483,0.164208984375,0.01820711,6.023066997528076,-0.01803786847158335,0.0003,0.2
661504,323,38.8,19.512,193,3411,-0.6933808436617255,3220,18.94521217495203,0.8289934992790222,0.173583984375,0.017608345,10.24670124053955,-0.018759293439507017,0.0003,0.2
663552,324,33.75,22.858,193,3427,-0.5399994797073304,3230,26.824836620688437,0.872467041015625,0.12314453125,0.013122415,21.269296646118164,-0.013210934313974576,0.0003,0.2
665600,325,38.42,20.372,193,3440,-0.5313534824177623,3240,12.926157981157303,0.4980824589729309,0.147900390625,0.020683747,5.893414497375488,-0.021444302366580813,0.0003,0.2
667648,326,36.38,21.459,193,3454,-0.6230306363664567,3250,10.916486495733261,0.7657157182693481,0.14228515625,0.012847521,2.5611650943756104,-0.01959936539933551,0.0003,0.2
669696,327,40.38,18.968999999999998,193,3467,-0.5326292585581541,3260,12.613482388854028,0.7874661684036255,0.123193359375,0.015660124,4.254260540008545,-0.01477179356297711,0.0003,0.2
671744,328,45.33,16.077,192,3483,-0.7562118239700795,3270,14.886150515079498,0.8362107276916504,0.16806640625,0.018506408,5.999022006988525,-0.02116616342245834,0.0003,0.2
673792,329,35.95,21.904,192,3501,-0.5907754977233708,3280,8.803589157760143,0.5308733582496643,0.143994140625,0.017768309,3.854963779449463,-0.009976429339440073,0.0003,0.2
675840,330,40.43,19.317999999999998,192,3517,-0.5733692129142582,3290,10.927639172971249,0.731417179107666,0.1388671875,0.015528709,2.4393439292907715,-0.021001713677833322,0.0003,0.2
677888,331,44.34,17.269,191,3531,-0.725735142454505,3300,13.112818160653115,0.8267295360565186,0.1509765625,0.015014296,7.434703350067139,-0.01722354556695791,0.0003,0.2
679936,332,45.98,16.247,191,3548,-0.7530526520684362,3310,20.980059441924094,0.8445175886154175,0.14599609375,0.014996097,7.094832420349121,-0.021575367312470915,0.0003,0.2
681984,333,49.41,13.848000000000003,191,3560,-0.7066513862460851,3320,27.983814731240273,0.84488844871521,0.118359375,0.011221986,8.11074447631836,-0.020957043730595613,0.0003,0.2
684032,334,41.15,18.453,191,3573,-0.7332501927390694,3330,25.42729381918907,0.8365582823753357,0.115380859375,0.009883063,5.037054538726807,-0.01822230803372804,0.0003,0.2
686080,335,40.27,19.774,191,3586,-0.6108945935964585,3340,18.86135004758835,0.8696349859237671,0.11982421875,0.012247616,3.8599720001220703,-0.016732555930502713,0.0003,0.2
