time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/total_timesteps,time/iterations,train/n_updates,train/clip_fraction,train/explained_variance,train/clip_range,train/approx_kl,train/learning_rate,train/loss,train/entropy_loss,train/policy_gradient_loss,train/value_loss
1240,20.26,599,42.07,743424,363,3620,0.117578125,0.8044561147689819,0.2,0.016405016,0.0003,3.7540056705474854,-0.47165302010253074,-0.01302433175878832,10.318607690185308
1243,18.806000000000004,599,44.36,745472,364,3630,0.1888671875,0.8550937175750732,0.2,0.019566882,0.0003,3.3720593452453613,-0.7540582321584225,-0.02058024732832564,24.33676401078701
1246,17.053,599,46.95,747520,365,3640,0.14052734375,0.8594188094139099,0.2,0.016900973,0.0003,2.9074699878692627,-0.5683722562156618,-0.01959008356425329,19.43069371432066
1250,16.347,599,49.07,749568,366,3650,0.141259765625,0.8506796360015869,0.2,0.013019856,0.0003,2.536085605621338,-0.78421148955822,-0.01407537547929678,23.089025500416756
1253,19.322000000000003,599,44.89,751616,367,3660,0.15849609375,0.8952919244766235,0.2,0.016977968,0.0003,4.236565113067627,-0.7100716786459088,-0.021400624176021666,28.948706851899622
1256,22.648999999999997,599,39.12,753664,368,3670,0.09375,0.7820175886154175,0.2,0.014222966,0.0003,12.183623313903809,-0.5630639010109008,-0.013415396586060524,26.94836773723364
1259,22.611000000000004,599,39.09,755712,369,3680,0.13330078125,0.8644833564758301,0.2,0.017160809,0.0003,11.055312156677246,-0.5952473677694797,-0.016785196406999603,28.684645894169808
1263,23.443000000000005,599,37.14,757760,370,3690,0.1361328125,0.792015552520752,0.2,0.013286018,0.0003,6.488034248352051,-0.5804843055084348,-0.018392190699523782,21.07624565064907
1266,21.244,600,40.45,759808,371,3700,0.134521484375,0.800499439239502,0.2,0.016349383,0.0003,8.335124969482422,-0.570995335187763,-0.018248374362883624,18.24178027510643
1270,20.82,599,41.14,761856,372,3710,0.153662109375,0.8143967986106873,0.2,0.015022182,0.0003,6.820553302764893,-0.6843368720263243,-0.016362400489742867,19.656991283595563
