time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/iterations,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/clip_range,train/value_loss,train/n_updates,train/learning_rate,train/loss,train/entropy_loss,train/explained_variance
356,64.36200000000001,160.4,512000,1436,250,-0.014742872273200192,0.018534563,0.0783203125,0.2,9.908086369931699,7390,0.0003,3.391929864883423,-0.2688649393152446,0.96218341588974
356,64.241,159.9,514048,1441,251,-0.013142818299820646,0.018637491,0.14931640625,0.2,10.425570975244046,7400,0.0003,4.379349708557129,-0.5294808149337769,0.9607272148132324
356,60.09999999999998,168.39,516096,1446,252,-0.008444101234636037,0.019393545,0.128515625,0.2,8.107340022921562,7410,0.0003,2.309861183166504,-0.4555948045104742,0.9417001605033875
357,60.25400000000001,167.71,518144,1451,253,-0.010751046545919962,0.026665438,0.185107421875,0.2,5.035013718530536,7420,0.0003,1.5402830839157104,-0.7131053609773517,0.9527043104171753
357,57.451,173.56,520192,1455,254,-0.01875026587949833,0.02408455,0.173193359375,0.2,8.55319757014513,7430,0.0003,2.3625807762145996,-0.5580065441317856,0.9567193388938904
357,56.46100000000001,175.68,522240,1460,255,-0.014380433523911051,0.017431736,0.151513671875,0.2,10.735833176970482,7440,0.0003,4.553236484527588,-0.6067515989765525,0.9571056962013245
357,59.025,170.0,524288,1465,256,-0.016677176146185958,0.015803104,0.119189453125,0.2,17.62008298933506,7450,0.0003,5.48624849319458,-0.4400592199526727,0.9495213031768799
357,58.62500000000001,170.88,526336,1471,257,-0.01818418994080275,0.012395521,0.111083984375,0.2,16.925718837976454,7460,0.0003,4.456660270690918,-0.43345230231061577,0.9544634222984314
357,58.142999999999994,171.83,528384,1476,258,-0.024976681410043965,0.014678007,0.139208984375,0.2,11.936834432184696,7470,0.0003,4.052438735961914,-0.4571382821537554,0.9639388918876648
358,61.23699999999999,166.72,530432,1480,259,-0.006619830631825608,0.011448114,0.118505859375,0.2,10.780366119742393,7480,0.0003,4.997135162353516,-0.44595636762678625,0.9610329270362854
358,67.603,153.81,532480,1485,260,-0.017622066334297415,0.0111417705,0.101318359375,0.2,17.552937611937523,7490,0.0003,7.770302772521973,-0.44143984131515024,0.953933835029602
358,66.52399999999999,156.2,534528,1490,261,-0.01247976428567199,0.014536995,0.10126953125,0.2,13.361139531433583,7500,0.0003,3.6525092124938965,-0.3709751707036048,0.9651015996932983
358,69.76899999999999,150.07,536576,1495,262,-0.01526467460062122,0.018995753,0.164306640625,0.2,12.281676171720028,7510,0.0003,7.2784600257873535,-0.6330752601847053,0.9602466225624084
358,65.14800000000001,159.4,538624,1500,263,-0.016668064396071713,0.011356109,0.11953125,0.2,13.548449453711509,7520,0.0003,3.191833972930908,-0.4714115557260811,0.9646672010421753
359,64.609,160.22,540672,1505,264,-0.021189821186999323,0.022293907,0.18544921875,0.2,10.450465943664312,7530,0.0003,2.5632622241973877,-0.6490478323772549,0.9613773822784424
359,60.672,168.18,542720,1511,265,-0.016799099995114374,0.016477752,0.175830078125,0.2,12.411819291114806,7540,0.0003,6.201855182647705,-0.6269489856436848,0.9657754302024841
359,61.14200000000001,166.82,544768,1516,266,-0.015801379368349446,0.014813576,0.131884765625,0.2,15.18061696588993,7550,0.0003,3.5244972705841064,-0.6004243955016136,0.953194797039032
359,58.285999999999994,172.63,546816,1521,267,-0.013342041290889029,0.015052824,0.12109375,0.2,18.302819460630417,7560,0.0003,5.83617639541626,-0.4810231448151171,0.9446490406990051
359,58.646000000000015,172.14,548864,1526,268,-0.015030323385144585,0.017364647,0.142626953125,0.2,12.003733558952808,7570,0.0003,5.805798530578613,-0.555967680271715,0.9407883286476135
359,60.07500000000001,170.12,550912,1531,269,-0.023216548665368465,0.018648773,0.140966796875,0.2,13.45655257999897,7580,0.0003,4.857995986938477,-0.5173114931210876,0.9510337114334106
359,59.848,169.73,552960,1537,270,-0.012745716897188685,0.01718344,0.099755859375,0.2,11.258146388828754,7590,0.0003,2.04850435256958,-0.35556657798588276,0.9483358263969421
359,56.293,175.95,555008,1541,271,-0.017011293745599686,0.025039777,0.18935546875,0.2,9.962275342643261,7600,0.0003,2.0856966972351074,-0.6277765768580139,0.9493114352226257
360,57.05,175.01,557056,1546,272,-0.013918288791319355,0.027074618,0.149853515625,0.2,11.058456791192294,7610,0.0003,3.885227680206299,-0.5684284234419466,0.9451923966407776
360,62.504000000000005,164.67,559104,1551,273,-0.015442754676769255,0.012682749,0.121044921875,0.2,16.671906860172747,7620,0.0003,6.114046573638916,-0.5854031337425113,0.9543555974960327
