time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/time_elapsed,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/n_updates,train/value_loss,train/loss,train/learning_rate,train/explained_variance,train/clip_fraction,train/clip_range
480,18.925,41.9,649216,317,1351,-0.6830891983583569,0.016264435,-0.018790830294892657,3160,17.160534782707693,7.023365497589111,0.0003,0.6903212666511536,0.14677734375,0.2
480,12.488,51.15,651264,318,1355,-0.7412246374413372,0.019769423,-0.017617968189006204,3170,15.097348107397556,5.187549114227295,0.0003,0.6490848064422607,0.17099609375,0.2
480,12.607999999999999,50.47,653312,319,1358,-0.923422696441412,0.032360837,-0.02183840592042543,3180,13.455362952500582,3.867709159851074,0.0003,0.6692219972610474,0.24345703125,0.2
481,20.584,38.89,655360,320,1361,-0.6622594561427831,0.015326928,-0.011899496964178979,3190,17.532250870764255,5.421270370483398,0.0003,0.5329530239105225,0.1525390625,0.2
481,18.562,41.64,657408,321,1364,-0.6825802987441421,0.016110431,-0.020523812703322618,3200,14.946285644173622,4.3593010902404785,0.0003,0.6938464641571045,0.16083984375,0.2
481,18.374,41.82,659456,322,1368,-0.7369723107665778,0.0151155945,-0.01632530712086009,3210,14.773635566234589,4.114004135131836,0.0003,0.6944538354873657,0.162548828125,0.2
482,16.923,44.94,661504,323,1371,-0.691575126722455,0.017013667,-0.017836076734238305,3220,18.454526574909686,7.681097507476807,0.0003,0.5870741605758667,0.1494140625,0.2
482,15.508,47.98,663552,324,1374,-0.7677407192066312,0.017265253,-0.01971525224071229,3230,19.297360737621783,3.71332049369812,0.0003,0.689368724822998,0.17822265625,0.2
483,16.387,46.36,665600,325,1377,-0.7899704147130251,0.01592701,-0.018243132023781073,3240,21.163975763320924,7.260538578033447,0.0003,0.6510921716690063,0.15703125,0.2
482,15.241,48.1,667648,326,1383,-0.7130285019055009,0.016633853,-0.020572855589853133,3250,19.32341775149107,5.688586711883545,0.0003,0.6802178621292114,0.1595703125,0.2
482,15.336000000000002,47.48,669696,327,1388,-0.8404732229188084,0.018146086,-0.02092870026244782,3260,21.16515711992979,7.94305419921875,0.0003,0.7358560562133789,0.192041015625,0.2
482,15.680000000000001,47.17,671744,328,1393,-0.787174510769546,0.01448705,-0.01941287236259086,3270,28.004300826787947,14.18328857421875,0.0003,0.7268807888031006,0.156787109375,0.2
481,18.842,42.02,673792,329,1398,-0.7360415721312166,0.013271063,-0.015194711544609163,3280,26.87989830970764,7.913947105407715,0.0003,0.7147284746170044,0.142431640625,0.2
481,19.714,40.35,675840,330,1402,-0.69000976216048,0.013606498,-0.02083659580530366,3290,25.02044796347618,8.19088077545166,0.0003,0.7239252328872681,0.1291015625,0.2
481,21.397000000000002,37.44,677888,331,1407,-0.6815886464901268,0.017332818,-0.01735673861694522,3300,22.262996788322926,9.010393142700195,0.0003,0.7297307252883911,0.14365234375,0.2
481,20.160000000000004,39.89,679936,332,1411,-0.6888621272519231,0.023247521,-0.020055620871426073,3310,22.03110950291157,10.638442039489746,0.0003,0.6382306814193726,0.15478515625,0.2
481,16.407999999999998,47.1,681984,333,1415,-0.7449636217206717,0.02401614,-0.022441795635677407,3320,15.812726734578609,4.790771484375,0.0003,0.6323179006576538,0.191455078125,0.2
481,13.175999999999998,53.0,684032,334,1420,-0.8041452307254076,0.01878935,-0.02096119846100919,3330,16.320835092663764,4.916683197021484,0.0003,0.7436352372169495,0.180322265625,0.2
481,15.211000000000002,48.03,686080,335,1424,-0.7763805545866489,0.017385395,-0.01953721057943767,3340,25.040181577205658,4.29542875289917,0.0003,0.7206777334213257,0.162939453125,0.2
481,16.319000000000003,45.98,688128,336,1429,-0.7638005290180445,0.014885992,-0.016230405370879452,3350,22.907248267531394,6.9523773193359375,0.0003,0.5821809768676758,0.164599609375,0.2
481,15.755,46.76,690176,337,1433,-0.8016858905553818,0.017743923,-0.019636175128107426,3360,19.523987132310868,8.990747451782227,0.0003,0.7030665874481201,0.170361328125,0.2
481,17.447,44.0,692224,338,1437,-0.7734333030879498,0.02277514,-0.022070864200941287,3370,18.339624363183976,6.30033540725708,0.0003,0.4226565957069397,0.196044921875,0.2
481,12.735000000000003,50.49,694272,339,1442,-0.773158511519432,0.019200094,-0.015104442152369302,3380,17.102646118402483,4.871358394622803,0.0003,0.6434206962585449,0.172021484375,0.2
481,14.472000000000001,48.89,696320,340,1446,-0.791958000510931,0.019997964,-0.01868206640938297,3390,17.563040621578693,5.791101455688477,0.0003,0.6824138164520264,0.180322265625,0.2
481,18.71,42.67,698368,341,1451,-0.6849727258086205,0.015090385,-0.0215989306467236,3400,27.991972336173056,16.90342140197754,0.0003,0.6073901057243347,0.145751953125,0.2
481,15.556,47.82,700416,342,1455,-0.7286211967468261,0.020793226,-0.024995406642847228,3410,17.554921309649945,6.670328140258789,0.0003,0.616631031036377,0.172412109375,0.2
481,11.879000000000001,54.82,702464,343,1459,-0.7924628304317594,0.019403657,-0.021732318938302343,3420,21.219777807593346,5.771539211273193,0.0003,0.6904929876327515,0.196435546875,0.2
481,18.37,42.76,704512,344,1464,-0.8349836748093367,0.018609252,-0.02287417138868477,3430,27.431105670332908,6.084255695343018,0.0003,0.7935769557952881,0.17529296875,0.2
480,19.775,39.36,706560,345,1468,-0.6243898062035441,0.013355524,-0.01790148441432393,3440,24.133650448918342,10.330982208251953,0.0003,0.7249262928962708,0.13173828125,0.2
