time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/total_timesteps,time/fps,train/value_loss,train/learning_rate,train/n_updates,train/entropy_loss,train/clip_range,train/policy_gradient_loss,train/loss,train/approx_kl,train/clip_fraction,train/explained_variance
5100,800.0,71.37500000000001,380,778240,152,1.0143176990561187,0.0003,18470,-0.8258643135428428,0.2,-0.03286768443358597,0.20188257098197937,0.020645745,0.195068359375,0.9998003244400024
5122,800.0,71.11200000000001,381,780288,152,1.116549279820174,0.0003,18480,-0.9234560798853636,0.2,-0.022763964568730442,0.2501208782196045,0.02303432,0.20478515625,0.9997550845146179
5139,800.0,73.954,382,782336,152,0.8867041621357202,0.0003,18490,-0.8068393504247069,0.2,-0.029389672623074146,0.3134763836860657,0.02134249,0.220166015625,0.9998520016670227
5163,800.0,73.62499999999999,383,784384,151,0.8441810263320804,0.0003,18500,-0.8396636245772242,0.2,-0.02490193729463499,0.7982560992240906,0.02576795,0.211083984375,0.9998312592506409
5183,800.0,73.208,384,786432,151,0.6589521987829358,0.0003,18510,-0.8467257304117084,0.2,-0.028361167401453714,0.17645788192749023,0.020176077,0.1904296875,0.9998485445976257
5206,800.0,72.493,385,788480,151,1.068096660450101,0.0003,18520,-0.8114266393706202,0.2,-0.034050461029983124,0.23079714179039001,0.030937994,0.194921875,0.9997376799583435
5225,800.0,72.502,386,790528,151,0.7774399170652032,0.0003,18530,-0.880031019821763,0.2,-0.03663135797396535,0.29885831475257874,0.024774183,0.256201171875,0.9997801184654236
5241,800.0,72.39000000000001,387,792576,151,0.9835265009663999,0.0003,18540,-0.8182665100321174,0.2,-0.03320891903131269,0.29190802574157715,0.0263618,0.23271484375,0.99978107213974
5263,800.0,71.59799999999998,388,794624,150,0.9969377259723842,0.0003,18550,-0.907276115193963,0.2,-0.02014272315209382,0.5279909372329712,0.02470775,0.2306640625,0.9996258020401001
5285,800.0,72.393,389,796672,150,0.9731552006676794,0.0003,18560,-0.7877455536276102,0.2,-0.03339146123180399,0.2696846127510071,0.020374479,0.206591796875,0.9998251795768738
5301,800.0,72.733,390,798720,150,0.8364970180671663,0.0003,18570,-0.8429808178916574,0.2,-0.02529258774156915,0.24775199592113495,0.020000983,0.2001953125,0.999868631362915
5324,800.0,73.45700000000001,391,800768,150,1.238845555484295,0.0003,18580,-0.7787520090118051,0.2,-0.026224861314403825,0.27765682339668274,0.025454767,0.211279296875,0.9997392296791077
5341,800.0,74.435,392,802816,150,1.0839803148061038,0.0003,18590,-0.8605805918574333,0.2,-0.03244531379023101,0.8562380075454712,0.024012683,0.240185546875,0.999748170375824
5359,800.0,75.202,393,804864,150,0.9838404756039381,0.0003,18600,-0.814396670088172,0.2,-0.03240964484284632,0.3309617042541504,0.02486234,0.21572265625,0.9997906684875488
5382,800.0,75.579,394,806912,149,1.0889425123110414,0.0003,18610,-0.8068516120314598,0.2,-0.032795076085312756,0.2440856546163559,0.02393658,0.225,0.9998413920402527
5397,800.0,72.61099999999999,395,808960,149,0.7513302179053426,0.0003,18620,-0.8478548092767596,0.2,-0.034489255702646916,0.13407714664936066,0.030133326,0.2388671875,0.9997723698616028
5412,800.0,72.17699999999999,396,811008,149,1.531985616404563,0.0003,18630,-0.8363678665831685,0.2,-0.015466234376071952,0.23829159140586853,0.03697896,0.1978515625,0.9986808896064758
5425,800.0,71.95400000000001,397,813056,149,0.970218643732369,0.0003,18640,-0.8984198424965143,0.2,-0.02817994531505974,0.31000009179115295,0.021020424,0.222265625,0.999762237071991
5439,800.0,72.333,398,815104,149,0.7017548406496644,0.0003,18650,-0.7976116290315985,0.2,-0.02869206198811298,0.2700641453266144,0.027218904,0.217041015625,0.9997571110725403
5471,800.0,72.532,399,817152,149,0.6606716208159924,0.0003,18660,-0.8478238010779023,0.2,-0.03071160538238473,0.0644422098994255,0.03335524,0.230029296875,0.9998476505279541
5494,800.0,73.25999999999999,400,819200,149,0.8735574164427817,0.0003,18670,-0.8114635419100523,0.2,-0.0268598172289785,0.5239211916923523,0.02396058,0.235791015625,0.9997859001159668
5509,800.0,73.653,401,821248,149,0.7222920890431851,0.0003,18680,-0.8061539763584733,0.2,-0.024941066419705747,0.15195316076278687,0.018896312,0.208740234375,0.9998268485069275
5536,800.0,73.816,402,823296,148,0.9797125864773989,0.0003,18690,-0.8590861035510897,0.2,-0.025021191520499995,0.12541185319423676,0.017365,0.199658203125,0.9996301531791687
5552,800.0,74.185,403,825344,148,1.0951648076996208,0.0003,18700,-0.7838407710194588,0.2,-0.029255576147988904,0.26274579763412476,0.024493674,0.194970703125,0.9997243285179138
5570,800.0,74.76,404,827392,148,1.0484835531562566,0.0003,18710,-0.8707201946526766,0.2,-0.019364873788435943,0.2952844500541687,0.02277014,0.14541015625,0.9998297691345215
5587,800.0,74.60600000000001,405,829440,148,0.8183741360902786,0.0003,18720,-0.7875551108270884,0.2,-0.028082796138915,0.17987242341041565,0.03153975,0.222607421875,0.9998523592948914
5608,800.0,74.13,406,831488,148,0.6391398758161813,0.0003,18730,-0.88384541682899,0.2,-0.03487867378134979,0.11411796510219574,0.029183418,0.265673828125,0.9998822808265686
5628,800.0,74.544,407,833536,148,0.6915917006321252,0.0003,18740,-0.8258567919954658,0.2,-0.02706226597292698,0.22373206913471222,0.015746437,0.199365234375,0.9998179078102112
5663,800.0,75.01400000000001,408,835584,147,0.8782149943057448,0.0003,18750,-0.8487173983827233,0.2,-0.029899512778501957,0.07545251399278641,0.021822931,0.218359375,0.9998791813850403
5681,800.0,75.007,409,837632,147,0.8198853304143995,0.0003,18760,-0.8554790448397398,0.2,-0.028792160615557803,0.15539146959781647,0.027766092,0.22578125,0.9997817277908325
